,ID,JSON_String,JSON_Dict,time_of_day,reason,vehicles
10,107737116,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['NA']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['NA']}",NA,Collision,['NA']
11,107554146,"{'time_of_day': 'night', 'reason': 'Negligence', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'Negligence', 'vehicles': ['Car']}",night,Negligence,['Car']
12,107508185,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
13,107441899,"{'time_of_day': 'afternoon', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'afternoon', 'reason': 'External influences', 'vehicles': ['Car']}",afternoon,External influences,['Car']
14,107674800,"{'time_of_day': 'afternoon', 'reason': 'Collision', 'vehicles': ['Two-Wheeler', 'Car']}","{'time_of_day': 'afternoon', 'reason': 'Collision', 'vehicles': ['Two-Wheeler', 'Car']}",afternoon,Collision,"['Two-Wheeler', 'Car']"
15,107612340,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car']}",night,Collision,['Car']
16,107578941,"{'time_of_day': 'evening', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'evening', 'reason': 'Collision', 'vehicles': ['Car']}",evening,Collision,['Car']
17,107178539,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car', 'Commercial Vehicle']}",NA,NA,"['Car', 'Commercial Vehicle']"
18,107479317,"{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car']}",night,External influences,['Car']
19,107446381,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car']}",morning,Collision,['Car']
20,107427856,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
21,107422930,"{'time_of_day': 'morning', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'External influences', 'vehicles': ['Car']}",morning,External influences,['Car']
22,107394532,"{'time_of_day': 'afternoon', 'reason': 'Negligence', 'vehicles': ['Car', 'Two-Wheeler']}","{'time_of_day': 'afternoon', 'reason': 'Negligence', 'vehicles': ['Car', 'Two-Wheeler']}",afternoon,Negligence,"['Car', 'Two-Wheeler']"
23,107775613,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,Collision,"['Car', 'Commercial Vehicle']"
24,107379707,"{'time_of_day': 'night', 'reason': 'Visibility', 'vehicles': ['Car', 'Two-Wheeler', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'Visibility', 'vehicles': ['Car', 'Two-Wheeler', 'Commercial Vehicle']}",night,Visibility,"['Car', 'Two-Wheeler', 'Commercial Vehicle']"
25,107407257,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,Collision,"['Car', 'Commercial Vehicle']"
26,107065962,"{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}",morning,Speed,['Car']
27,107043651,"{'time_of_day': ['morning', 'morning'], 'reason': ['Collision', 'Collision'], 'vehicles': ['Car', 'Commercial Vehicle', 'Two-Wheeler']}","{'time_of_day': ['morning', 'morning'], 'reason': ['Collision', 'Collision'], 'vehicles': ['Car', 'Commercial Vehicle', 'Two-Wheeler']}","['morning', 'morning']","['Collision', 'Collision']","['Car', 'Commercial Vehicle', 'Two-Wheeler']"
28,107139440,"{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Two-Wheeler', 'Car']}","{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Two-Wheeler', 'Car']}",NA,Speed,"['Two-Wheeler', 'Car']"
29,107097281,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car']}",night,Collision,['Car']
30,107238362,"{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car']}",NA,External influences,['Car']
31,107234809,{},{},,,
32,107002541,"{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car', 'Two-Wheeler', 'Commercial Vehicle']}","{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car', 'Two-Wheeler', 'Commercial Vehicle']}",NA,External influences,"['Car', 'Two-Wheeler', 'Commercial Vehicle']"
33,106560896,{},{},,,
34,106972042,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Two-Wheeler', 'Car']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Two-Wheeler', 'Car']}",night,Collision,"['Two-Wheeler', 'Car']"
35,107700175,"{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Commercial Vehicle', 'Car', 'Commercial Vehicle']}","{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Commercial Vehicle', 'Car', 'Commercial Vehicle']}",NA,External influences,"['Commercial Vehicle', 'Car', 'Commercial Vehicle']"
36,106882635,{},{},,,
37,107103068,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Commercial Vehicle', 'Special Vehicle', 'Car']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Commercial Vehicle', 'Special Vehicle', 'Car']}",morning,Collision,"['Commercial Vehicle', 'Special Vehicle', 'Car']"
38,107352627,"{'time_of_day': 'NA', 'reason': 'Negligence', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'Negligence', 'vehicles': ['Car']}",NA,Negligence,['Car']
39,107128934,"{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car', 'Commercial Vehicle', 'Commercial Vehicle', 'Two-Wheeler']}","{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car', 'Commercial Vehicle', 'Commercial Vehicle', 'Two-Wheeler']}",night,Speed,"['Car', 'Commercial Vehicle', 'Commercial Vehicle', 'Two-Wheeler']"
40,106433722,"{'time_of_day': 'NA', 'reason': 'Negligence', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'Negligence', 'vehicles': ['Car']}",NA,Negligence,['Car']
41,107031744,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
42,107009388,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car']}",NA,Collision,['Car']
43,106680234,"{'time_of_day': 'night', 'reason': 'Visibility', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'Visibility', 'vehicles': ['Car', 'Commercial Vehicle']}",night,Visibility,"['Car', 'Commercial Vehicle']"
44,106338450,"{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}",morning,Speed,['Car']
45,106911922,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Car']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Car']}",morning,Collision,"['Car', 'Car']"
46,106035426,"{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car', 'Two-Wheeler']}","{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car', 'Two-Wheeler']}",night,Speed,"['Car', 'Two-Wheeler']"
47,106849492,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
48,106527657,"{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car']}",morning,Negligence,['Car']
49,106826497,"{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}",morning,Speed,['Car']
50,106728013,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
51,106682841,"{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Special Vehicle', 'Two-Wheeler', 'Two-Wheeler']}","{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Special Vehicle', 'Two-Wheeler', 'Two-Wheeler']}",morning,Speed,"['Special Vehicle', 'Two-Wheeler', 'Two-Wheeler']"
52,106161164,"{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car']}",NA,External influences,['Car']
53,106197185,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car', 'Commercial Vehicle', 'Commercial Vehicle']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car', 'Commercial Vehicle', 'Commercial Vehicle']}",NA,NA,"['Car', 'Commercial Vehicle', 'Commercial Vehicle']"
54,106173415,"{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Two-Wheeler', 'Car']}","{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Two-Wheeler', 'Car']}",night,Speed,"['Two-Wheeler', 'Car']"
55,106305413,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,Collision,"['Car', 'Commercial Vehicle']"
56,106115351,"{'time_of_day': 'morning', 'reason': 'Visibility', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Visibility', 'vehicles': ['Car']}",morning,Visibility,['Car']
57,106290919,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,Collision,"['Car', 'Commercial Vehicle']"
58,106243621,"{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car']}",night,Speed,['Car']
59,106197981,"{'time_of_day': 'evening', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'evening', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}",evening,External influences,"['Car', 'Commercial Vehicle']"
60,106509706,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
61,107113249,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car']}",NA,Collision,['Car']
62,106499613,"{'time_of_day': 'morning', 'reason': 'Visibility', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Visibility', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,Visibility,"['Car', 'Commercial Vehicle']"
63,105480107,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",NA,Collision,"['Car', 'Commercial Vehicle']"
64,106533830,"{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Special Vehicle', 'Car']}","{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Special Vehicle', 'Car']}",NA,Speed,"['Special Vehicle', 'Car']"
65,106728421,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
66,106429928,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car']}",morning,Collision,['Car']
67,105884183,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",night,Collision,"['Car', 'Commercial Vehicle']"
68,106278067,"{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car']}",night,External influences,['Car']
69,106886103,"{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Speed', 'vehicles': ['Car']}",morning,Speed,['Car']
70,105302320,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
71,105380774,"{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Car']}",NA,Speed,['Car']
72,106196264,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",NA,Collision,"['Car', 'Commercial Vehicle']"
73,106133743,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
74,106107491,"{'time_of_day': 'night', 'reason': 'Driving Under Influence', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'Driving Under Influence', 'vehicles': ['Car']}",night,Driving Under Influence,['Car']
75,106083796,"{'time_of_day': 'NA', 'reason': 'Driving Under Influence', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'Driving Under Influence', 'vehicles': ['Car']}",NA,Driving Under Influence,['Car']
76,106055887,"{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car']}",NA,External influences,['Car']
77,107963038,"{'time_of_day': 'NA', 'reason': 'Negligence', 'vehicles': ['Special Vehicle', 'Car']}","{'time_of_day': 'NA', 'reason': 'Negligence', 'vehicles': ['Special Vehicle', 'Car']}",NA,Negligence,"['Special Vehicle', 'Car']"
78,107955975,"{'time_of_day': 'afternoon', 'reason': 'Speed', 'vehicles': ['Two-Wheeler', 'Car']}","{'time_of_day': 'afternoon', 'reason': 'Speed', 'vehicles': ['Two-Wheeler', 'Car']}",afternoon,Speed,"['Two-Wheeler', 'Car']"
79,106188195,"{'time_of_day': 'afternoon', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'afternoon', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}",afternoon,Negligence,"['Car', 'Commercial Vehicle']"
80,106013173,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Special Vehicle']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Special Vehicle']}",night,Collision,"['Car', 'Special Vehicle']"
81,107788297,"{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Two-Wheeler', 'Car']}","{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Two-Wheeler', 'Car']}",NA,Speed,"['Two-Wheeler', 'Car']"
82,105886039,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,Collision,"['Car', 'Commercial Vehicle']"
83,105875226,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car', 'Special Vehicle']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car', 'Special Vehicle']}",NA,Collision,"['Car', 'Special Vehicle']"
84,105273925,"{'time_of_day': 'evening', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'evening', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}",evening,Negligence,"['Car', 'Commercial Vehicle']"
85,104901183,"{'time_of_day': 'evening', 'reason': 'Negligence', 'vehicles': ['Car']}","{'time_of_day': 'evening', 'reason': 'Negligence', 'vehicles': ['Car']}",evening,Negligence,['Car']
86,106273921,"{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car']}",night,External influences,['Car']
87,105208476,"{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,Negligence,"['Car', 'Commercial Vehicle']"
88,105110703,"{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car', 'Car']}","{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car', 'Car']}",night,Speed,"['Car', 'Car']"
89,107707506,"{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}",morning,Negligence,"['Car', 'Commercial Vehicle']"
90,107576696,"{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}",night,External influences,"['Car', 'Commercial Vehicle']"
91,106342781,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",night,Collision,"['Car', 'Commercial Vehicle']"
92,107861957,"{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}",NA,External influences,"['Car', 'Commercial Vehicle']"
93,107980962,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car', 'Two-Wheeler']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Car', 'Two-Wheeler']}",NA,Collision,"['Car', 'Two-Wheeler']"
94,107979658,"{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Commercial Vehicle', 'Car']}","{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Commercial Vehicle', 'Car']}",night,Speed,"['Commercial Vehicle', 'Car']"
95,105268955,"{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Car', 'Car']}","{'time_of_day': 'NA', 'reason': 'Speed', 'vehicles': ['Car', 'Car']}",NA,Speed,"['Car', 'Car']"
96,104668982,"{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car']}",morning,Negligence,['Car']
97,104965043,"{'time_of_day': 'night', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle']}",night,Negligence,"['Car', 'Commercial Vehicle']"
98,107508976,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Special Vehicle', 'Car', 'Two-Wheeler']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Special Vehicle', 'Car', 'Two-Wheeler']}",night,Collision,"['Car', 'Special Vehicle', 'Car', 'Two-Wheeler']"
99,107936768,"{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'External influences', 'vehicles': ['Car']}",NA,External influences,['Car']
100,107927966,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Two-Wheeler']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Car', 'Two-Wheeler']}",morning,Collision,"['Car', 'Two-Wheeler']"
101,104378710,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
102,104920484,"{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle', 'Commercial Vehicle']}","{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle', 'Commercial Vehicle']}",morning,Negligence,"['Car', 'Commercial Vehicle', 'Commercial Vehicle']"
103,107474867,"{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car']}",night,Speed,['Car']
104,107898337,"{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car']}",morning,Negligence,['Car']
105,107271820,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['NA']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['NA']}",NA,NA,['NA']
106,106252048,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Two-Wheeler', 'Special Vehicle']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Two-Wheeler', 'Special Vehicle']}",morning,Collision,"['Two-Wheeler', 'Special Vehicle']"
107,107340401,"{'time_of_day': 'night', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle', 'Special Vehicle']}","{'time_of_day': 'night', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle', 'Special Vehicle']}",night,Negligence,"['Car', 'Commercial Vehicle', 'Special Vehicle']"
108,107979482,"{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Commercial Vehicle', 'Commercial Vehicle', 'Car', 'Special Vehicle']}","{'time_of_day': 'morning', 'reason': 'Collision', 'vehicles': ['Commercial Vehicle', 'Commercial Vehicle', 'Car', 'Special Vehicle']}",morning,Collision,"['Commercial Vehicle', 'Commercial Vehicle', 'Car', 'Special Vehicle']"
109,107978055,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Two-Wheeler']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Two-Wheeler']}",night,Collision,"['Car', 'Two-Wheeler']"
110,107978025,"{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}","{'time_of_day': 'NA', 'reason': 'NA', 'vehicles': ['Car']}",NA,NA,['Car']
111,107837376,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car', 'Commercial Vehicle']}",night,Collision,"['Car', 'Commercial Vehicle']"
112,107707206,"{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle', 'Two-Wheeler']}","{'time_of_day': 'morning', 'reason': 'Negligence', 'vehicles': ['Car', 'Commercial Vehicle', 'Two-Wheeler']}",morning,Negligence,"['Car', 'Commercial Vehicle', 'Two-Wheeler']"
113,107972845,"{'time_of_day': 'morning', 'reason': 'External influences', 'vehicles': ['Car', 'Car']}","{'time_of_day': 'morning', 'reason': 'External influences', 'vehicles': ['Car', 'Car']}",morning,External influences,"['Car', 'Car']"
114,105369898,"{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'Collision', 'vehicles': ['Car']}",night,Collision,['Car']
115,104808713,{},{},,,
116,107952979,"{'time_of_day': 'morning', 'reason': 'External influences', 'vehicles': ['Car']}","{'time_of_day': 'morning', 'reason': 'External influences', 'vehicles': ['Car']}",morning,External influences,['Car']
117,105872590,"{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}",night,External influences,"['Car', 'Commercial Vehicle']"
118,105877439,"{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car']}","{'time_of_day': 'night', 'reason': 'Speed', 'vehicles': ['Car']}",night,Speed,['Car']
119,104665033,"{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}","{'time_of_day': 'night', 'reason': 'External influences', 'vehicles': ['Car', 'Commercial Vehicle']}",night,External influences,"['Car', 'Commercial Vehicle']"
120,104918661,"{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Commercial Vehicle', 'Car']}","{'time_of_day': 'NA', 'reason': 'Collision', 'vehicles': ['Commercial Vehicle', 'Car']}",NA,Collision,"['Commercial Vehicle', 'Car']"
